,infant.mortality
Afghanistan,154
Albania,32
Algeria,44
American.Samoa,11
Andorra,NA
Angola,124
Antigua,24
Argentina,22
Armenia,25
Australia,6
Austria,6
Azerbaijan,33
Bahamas,14
Bahrain,18
Bangladesh,78
Barbados,9
Belarus,15
Belgium,7
Belize,30
Benin,84
Bhutan,104
Bolivia,66
Bosnia,13
Botswana,56
Brazil,42
Brunei,9
Bulgaria,16
Burkina.Faso,97
Burundi,114
Cambodia,102
Cameroon,58
Canada,6
Cape.Verde,41
Central.African.Rep,96
Chad,115
Chile,13
China,38
Colombia,24
Comoros,82
Congo,90
Cook.Islands,26
Costa.Rica,12
Croatia,10
Cuba,9
Cyprus,7
Czech.Republic,9
Dem.Rep.of.the.Congo,89
Denmark,7
Djibouti,106
Dominica,NA
Dominican.Republic,34
East.Timor,135
Ecuador,46
Egypt,54
El.Salvador,39
Equatorial.Guinea,107
Eritrea,98
Estonia,12
Ethiopia,107
Fiji,20
Finland,5
France,7
French.Guiana,22
French.Polynesia,10
Gabon,85
Gambia,122
Gaza.Strip,37
Georgia,23
Germany,6
Ghana,73
Greece,8
Grenada,14
Guadeloupe,8
Guam,10
Guatemala,40
Guinea,124
Guinea.Bissau,132
Guyana,58
Haiti,82
Honduras,35
Hong.Kong,5
Hungary,14
Iceland,5
India,72
Indonesia,48
Iran,39
Iraq,95
Ireland,6
Israel,7
Italy,7
Ivory.Coast,86
Jamaica,12
Japan,4
Jordan,30
Kazakhstan,34
Kenya,65
Kiribati,65
Korea.Dem.Peoples.Rep,22
Korea.Republic.of,9
Kuwait,14
Kyrgyzstan,39
Laos,86
Latvia,16
Lebanon,29
Lesotho,72
Liberia,153
Libya,56
Liechtenstein,NA
Lithuania,13
Luxembourg,6
Macau,8
Macedonia,23
Madagascar,77
Malawi,142
Malaysia,11
Maldives,49
Mali,149
Malta,8
Marshall.Islands,26
Martinique,7
Mauritania,92
Mauritius,15
Mexico,31
Micronesia,20
Moldova,26
Monaco,NA
Mongolia,52
Morocco,51
Mozambique,110
Myanmar,78
Namibia,60
Nepal,82
Netherlands,6
Netherlands.Antilles,10
New.Caledonia,18
New.Zealand,7
Nicaragua,44
Niger,114
Nigeria,77
Northern.Mariana.Islands,2
Norway,5
Oman,25
Pakistan,74
Palau,25
Panama,21
Papua.New.Guinea,61
Paraguay,39
Peru,45
Philippines,35
Poland,13
Portugal,8
Puerto.Rico,9
Qatar,17
Reunion,7
Romania,24
Russia,19
Rwanda,125
Saint.Kitts,25
Saint.Lucia,18
Samoa,58
San.Marino,NA
Sao.Tome,51
Saudi.Arabia,23
Senegal,62
Seychelles,12
Sierra.Leone,169
Singapore,5
Slovakia,12
Slovenia,7
Solomon.Islands,23
Somalia,112
South.Africa,48
Spain,7
Sri.Lanka,15
St.Vincent,19
Sudan,71
Suriname,24
Swaziland,65
Sweden,5
Switzerland,5
Syria,33
Tajikistan,56
Tanzania,80
Thailand,30
Togo,86
Tonga,3
Trinidad.and.Tobago,14
Tunisia,37
Turkey,44
Turkmenistan,57
Tuvalu,NA
Uganda,113
Ukraine,18
United.Arab.Emirates,15
United.Kingdom,6
United.States,7
Uruguay,17
Uzbekistan,43
Vanuatu,38
Venezuela,21
Viet.Nam,37
Virgin.Islands,12
Western.Sahara,64
Yemen,80
Yugoslavia,19
Zambia,103
Zimbabwe,68
